Time_yr,Pressure_bar,CO2_Saturation,Mean_Depth_m
1,304.929616552734,0,3071.18783772983
2,308.992173046301,0,3071.18783772983
3,312.054643617083,0,3071.18783772983
4,314.153726948244,0,3071.18783772983
5,315.578809817376,0,3071.18783772983
6,316.570611604906,0,3071.18783772983
7,317.282578108184,0,3071.18783772983
8,317.818845916426,0,3071.18783772983
9,318.233813992533,0,3071.18783772983
10,318.57115719716,0,3071.18783772983
11,318.855591903608,0,3071.18783772983
12,319.097955567412,0,3071.18783772983
13,319.314017940474,0,3071.18783772983
14,319.506202649829,0,3071.18783772983
15,319.680990638647,0,3071.18783772983
16,319.847662939814,0,3071.18783772983
17,320.00323840712,0,3071.18783772983
18,320.153495508571,0,3071.18783772983
19,320.300761805122,0,3071.18783772983
20,320.446629463869,0,3071.18783772983
21,320.592114200997,0,3071.18783772983
22,320.739219109079,0,3071.18783772983
23,320.889319343298,0,3071.18783772983
24,321.038844723096,0,3071.18783772983
25,321.189760744572,0,3071.18783772983
26,321.344383346267,0,3071.18783772983
27,321.492649713381,0,3071.18783772983
28,321.642975768716,0,3071.18783772983
29,321.794056464194,0,3071.18783772983
30,321.940965155002,0,3071.18783772983
31,322.085957427691,0,3071.18783772983
32,322.229932775921,0,3071.18783772983
33,322.36948060708,0,3071.18783772983
34,322.510602971677,0,3071.18783772983
35,322.652141371939,0,3071.18783772983
36,322.788561728764,0,3071.18783772983
37,322.928298246588,0,3071.18783772983
38,323.06821280913,0,3071.18783772983
39,323.206325777527,0,3071.18783772983
40,323.347385810887,0,3071.18783772983
41,323.482902489001,0,3071.18783772983
42,323.617339507784,0,3071.18783772983
43,323.750600059941,0,3071.18783772983
44,323.882526904345,0,3071.18783772983
45,324.019861542608,0,3071.18783772983
46,324.153798457139,0,3071.18783772983
47,324.291329855167,0,3071.18783772983
48,324.43290174798,0,3071.18783772983
49,324.578723072842,0,3071.18783772983
50,324.7357727018,0,3071.18783772983
60,317.527908336014,0,3071.18783772983
70,311.527427280469,0,3071.18783772983
80,307.266042429879,0,3071.18783772983
90,304.510202268722,0,3071.18783772983
100,302.820351161018,0,3071.18783772983
110,301.825453184343,0,3071.18783772983
120,301.252023391955,0,3071.18783772983
130,300.92459264914,0,3071.18783772983
140,300.739712327789,0,3071.18783772983
150,300.638352431581,0,3071.18783772983
160,300.584240776035,0,3071.18783772983
170,300.557029760424,0,3071.18783772983
180,300.545674104861,0,3071.18783772983
190,300.542928230395,0,3071.18783772983
200,300.544628340128,0,3071.18783772983
210,300.548431281211,0,3071.18783772983
220,300.553275901071,0,3071.18783772983
230,300.558825533217,0,3071.18783772983
240,300.564195360577,0,3071.18783772983
250,300.569004897654,0,3071.18783772983
260,300.573431296319,0,3071.18783772983
270,300.57742693486,0,3071.18783772983
280,300.580859369215,0,3071.18783772983
290,300.583981745101,0,3071.18783772983
300,300.586772869043,0,3071.18783772983
310,300.589067977262,0,3071.18783772983
320,300.590744228821,0,3071.18783772983
330,300.592061627046,0,3071.18783772983
340,300.593231362706,0,3071.18783772983
350,300.593950707734,0,3071.18783772983
360,300.594327608141,0,3071.18783772983
370,300.59446387782,0,3071.18783772983
380,300.594279134207,0,3071.18783772983
390,300.594043628589,0,3071.18783772983
400,300.593847620194,0,3071.18783772983
410,300.593867342645,0,3071.18783772983
420,300.594114876468,0,3071.18783772983
430,300.59455361746,0,3071.18783772983
440,300.595002729634,0,3071.18783772983
450,300.595092940554,0,3071.18783772983
460,300.59510434372,0,3071.18783772983
470,300.5948800512,0,3071.18783772983
480,300.594609552915,0,3071.18783772983
490,300.594339310693,0,3071.18783772983
500,300.594040442028,0,3071.18783772983
510,300.593830739668,0,3071.18783772983
520,300.593616325388,0,3071.18783772983
530,300.593572802527,0,3071.18783772983
540,300.593614116177,0,3071.18783772983
550,300.594017399161,0,3071.18783772983
560,300.59456390534,0,3071.18783772983
570,300.595252845735,0,3071.18783772983
580,300.596034086451,0,3071.18783772983
590,300.596835598426,0,3071.18783772983
600,300.597554296981,0,3071.18783772983
610,300.598225341734,0,3071.18783772983
620,300.598903458736,0,3071.18783772983
630,300.599580225401,0,3071.18783772983
640,300.600367861515,0,3071.18783772983
650,300.601256897206,0,3071.18783772983
660,300.602358931142,0,3071.18783772983
670,300.603600202154,0,3071.18783772983
680,300.60496416064,0,3071.18783772983
690,300.606478304204,0,3071.18783772983
700,300.608123247923,0,3071.18783772983
710,300.609791783152,0,3071.18783772983
720,300.611465242209,0,3071.18783772983
730,300.613213504246,0,3071.18783772983
740,300.615010886119,0,3071.18783772983
750,300.616653812277,0,3071.18783772983
760,300.618173014751,0,3071.18783772983
770,300.619734411132,0,3071.18783772983
780,300.621395097189,0,3071.18783772983
790,300.623189191275,0,3071.18783772983
800,300.624900932641,0,3071.18783772983
810,300.626526569721,0,3071.18783772983
820,300.628096188019,0,3071.18783772983
830,300.629750634134,0,3071.18783772983
840,300.631520726476,0,3071.18783772983
850,300.633476290554,0,3071.18783772983
860,300.635526956269,0,3071.18783772983
870,300.637540970626,0,3071.18783772983
880,300.639770895557,0,3071.18783772983
890,300.642457956773,0,3071.18783772983
900,300.645334277813,0,3071.18783772983
910,300.648061268102,0,3071.18783772983
920,300.650757875714,0,3071.18783772983
930,300.653729942157,0,3071.18783772983
940,300.657108240385,0,3071.18783772983
950,300.660669693707,0,3071.18783772983
960,300.664171381399,0,3071.18783772983
970,300.667631342718,0,3071.18783772983
980,300.671151326995,0,3071.18783772983
990,300.674883103156,0,3071.18783772983
1000,300.678713136466,0,3071.18783772983
