Time_yr,Pressure_bar,CO2_Saturation,Mean_Depth_m
1,241.472426400115,0,2437.52627301834
2,244.603448586599,0,2437.52627301834
3,247.328618470984,0,2437.52627301834
4,249.397763921384,0,2437.52627301834
5,250.896095187817,0,2437.52627301834
6,251.969138444123,0,2437.52627301834
7,252.745522480858,0,2437.52627301834
8,253.321010535914,0,2437.52627301834
9,253.759211331214,0,2437.52627301834
10,254.106500394208,0,2437.52627301834
11,254.389792583967,0,2437.52627301834
12,254.626146763752,0,2437.52627301834
13,254.829121771076,0,2437.52627301834
14,255.005658078151,0,2437.52627301834
15,255.158509559613,0,2437.52627301834
16,255.295686781424,0,2437.52627301834
17,255.417129306562,0,2437.52627301834
18,255.519968770786,0,2437.52627301834
19,255.607294595837,0,2437.52627301834
20,255.685662650487,0,2437.52627301834
21,255.75414187135,0,2437.52627301834
22,255.809135732906,0,2437.52627301834
23,255.849987746081,0,2437.52627301834
24,255.890816200302,0,2437.52627301834
25,255.937190335253,0,2437.52627301834
26,255.983923799202,0,2437.52627301834
27,256.043122152844,0,2437.52627301834
28,256.107871749236,0,2437.52627301834
29,256.167344792276,0,2437.52627301834
30,256.234685949574,0,2437.52627301834
31,256.316300841539,0,2437.52627301834
32,256.399949985914,0,2437.52627301834
33,256.485078566605,0,2437.52627301834
34,256.575342130849,0,2437.52627301834
35,256.669422114042,0,2437.52627301834
36,256.765411807151,0,2437.52627301834
37,256.870844769817,0,2437.52627301834
38,256.981810719678,0,2437.52627301834
39,257.096170408616,0,2437.52627301834
40,257.210183336057,0,2437.52627301834
41,257.329107922478,0,2437.52627301834
42,257.446127262752,0,2437.52627301834
43,257.556195099267,0,2437.52627301834
44,257.66160650716,0,2437.52627301834
45,257.767268631627,0,2437.52627301834
46,257.872445740999,0,2437.52627301834
47,257.973562498167,0,2437.52627301834
48,258.07342773165,0,2437.52627301834
49,258.169338187776,0,2437.52627301834
50,258.26520124223,0,2437.52627301834
60,250.971309367837,0,2437.52627301834
70,245.934186616752,0,2437.52627301834
80,243.129578029453,0,2437.52627301834
90,241.64325292461,0,2437.52627301834
100,240.86507417661,0,2437.52627301834
110,240.45922017111,0,2437.52627301834
120,240.247569923373,0,2437.52627301834
130,240.133227608256,0,2437.52627301834
140,240.072093798492,0,2437.52627301834
150,240.0382668998,0,2437.52627301834
160,240.018916236743,0,2437.52627301834
170,240.008921140732,0,2437.52627301834
180,240.001666771543,0,2437.52627301834
190,239.997964424896,0,2437.52627301834
200,239.996478037486,0,2437.52627301834
210,239.995097904897,0,2437.52627301834
220,239.99610078765,0,2437.52627301834
230,239.998987645504,0,2437.52627301834
240,240.001362309057,0,2437.52627301834
250,240.0037485942,0,2437.52627301834
260,240.008370111431,0,2437.52627301834
270,240.011691518739,0,2437.52627301834
280,240.014760182963,0,2437.52627301834
290,240.020755891731,0,2437.52627301834
300,240.026707901694,0,2437.52627301834
310,240.030679038207,0,2437.52627301834
320,240.036833432893,0,2437.52627301834
330,240.042596542149,0,2437.52627301834
340,240.046444526476,0,2437.52627301834
350,240.052292911672,0,2437.52627301834
360,240.05836745598,0,2437.52627301834
370,240.062458092538,0,2437.52627301834
