Time_yr,Pressure_bar,CO2_Saturation,Mean_Depth_m
1,301.825636051039,0,3071.18783772983
2,302.540612891021,0,3071.18783772983
3,303.087757567321,0,3071.18783772983
4,303.463987710814,0,3071.18783772983
5,303.715573529963,0,3071.18783772983
6,303.885704314471,0,3071.18783772983
7,304.001931268849,0,3071.18783772983
8,304.082676129602,0,3071.18783772983
9,304.140832702143,0,3071.18783772983
10,304.182882262651,0,3071.18783772983
11,304.214074951929,0,3071.18783772983
12,304.238167819742,0,3071.18783772983
13,304.256749233603,0,3071.18783772983
14,304.272026197638,0,3071.18783772983
15,304.285850081641,0,3071.18783772983
16,304.298057285679,0,3071.18783772983
17,304.307734594879,0,3071.18783772983
18,304.315915042227,0,3071.18783772983
19,304.323780588361,0,3071.18783772983
20,304.330978973426,0,3071.18783772983
21,304.337266983897,0,3071.18783772983
22,304.343224953284,0,3071.18783772983
23,304.349204887555,0,3071.18783772983
24,304.354760888547,0,3071.18783772983
25,304.359484266196,0,3071.18783772983
26,304.36368000087,0,3071.18783772983
27,304.36828577601,0,3071.18783772983
28,304.373258178156,0,3071.18783772983
29,304.37784973788,0,3071.18783772983
30,304.381741065552,0,3071.18783772983
31,304.385097327497,0,3071.18783772983
32,304.388584528089,0,3071.18783772983
33,304.392377467584,0,3071.18783772983
34,304.396366929267,0,3071.18783772983
35,304.400110109205,0,3071.18783772983
36,304.403393473972,0,3071.18783772983
37,304.40661107054,0,3071.18783772983
38,304.410066061354,0,3071.18783772983
39,304.413559521775,0,3071.18783772983
40,304.41657726393,0,3071.18783772983
41,304.419059638262,0,3071.18783772983
42,304.421467936359,0,3071.18783772983
43,304.424055546115,0,3071.18783772983
44,304.426564445004,0,3071.18783772983
45,304.429048750806,0,3071.18783772983
46,304.431556464571,0,3071.18783772983
47,304.434087148163,0,3071.18783772983
48,304.436683115648,0,3071.18783772983
49,304.439350837518,0,3071.18783772983
50,304.441979028451,0,3071.18783772983
60,302.449261674527,0,3071.18783772983
70,301.620222175091,0,3071.18783772983
80,301.338752771013,0,3071.18783772983
90,301.245283481957,0,3071.18783772983
100,301.213275874342,0,3071.18783772983
110,301.201142466225,0,3071.18783772983
120,301.195546046856,0,3071.18783772983
130,301.191837692256,0,3071.18783772983
140,301.188704809067,0,3071.18783772983
150,301.185760765232,0,3071.18783772983
160,301.182900907971,0,3071.18783772983
170,301.180067749342,0,3071.18783772983
180,301.17714752685,0,3071.18783772983
190,301.174323233592,0,3071.18783772983
200,301.17150315974,0,3071.18783772983
210,301.16880347023,0,3071.18783772983
220,301.166017353266,0,3071.18783772983
230,301.163355000401,0,3071.18783772983
240,301.160768426854,0,3071.18783772983
250,301.158186040587,0,3071.18783772983
260,301.155706443583,0,3071.18783772983
270,301.153130337211,0,3071.18783772983
280,301.150554247739,0,3071.18783772983
290,301.148167712955,0,3071.18783772983
300,301.145899517092,0,3071.18783772983
310,301.143791379368,0,3071.18783772983
320,301.141709054271,0,3071.18783772983
330,301.139653115547,0,3071.18783772983
340,301.137694254514,0,3071.18783772983
350,301.135818864235,0,3071.18783772983
360,301.133991442748,0,3071.18783772983
370,301.132344048637,0,3071.18783772983
380,301.130839978002,0,3071.18783772983
390,301.12934449105,0,3071.18783772983
400,301.127934404033,0,3071.18783772983
410,301.126723146099,0,3071.18783772983
420,301.125678619584,0,3071.18783772983
430,301.124599879497,0,3071.18783772983
440,301.123613833962,0,3071.18783772983
450,301.122923269487,0,3071.18783772983
460,301.122582386826,0,3071.18783772983
470,301.122412755302,0,3071.18783772983
480,301.122311362167,0,3071.18783772983
490,301.122186296854,0,3071.18783772983
500,301.122177482503,0,3071.18783772983
510,301.122126069931,0,3071.18783772983
520,301.122089920425,0,3071.18783772983
530,301.122209120354,0,3071.18783772983
540,301.122412261038,0,3071.18783772983
550,301.122680927644,0,3071.18783772983
560,301.122966014278,0,3071.18783772983
570,301.12328152848,0,3071.18783772983
580,301.123592432171,0,3071.18783772983
590,301.123985731698,0,3071.18783772983
600,301.124510914623,0,3071.18783772983
610,301.125163867662,0,3071.18783772983
620,301.12586288063,0,3071.18783772983
630,301.126672509127,0,3071.18783772983
640,301.127547700115,0,3071.18783772983
650,301.128498130518,0,3071.18783772983
660,301.129487268152,0,3071.18783772983
670,301.13053282244,0,3071.18783772983
680,301.13163640857,0,3071.18783772983
690,301.13268982258,0,3071.18783772983
700,301.133705090444,0,3071.18783772983
710,301.13472697643,0,3071.18783772983
720,301.135801246802,0,3071.18783772983
730,301.136852106206,0,3071.18783772983
740,301.137815070782,0,3071.18783772983
750,301.138776059465,0,3071.18783772983
760,301.139796630829,0,3071.18783772983
770,301.140859427297,0,3071.18783772983
780,301.141884124542,0,3071.18783772983
790,301.142861396677,0,3071.18783772983
800,301.143822395686,0,3071.18783772983
810,301.144780055871,0,3071.18783772983
820,301.14571907147,0,3071.18783772983
830,301.14660932821,0,3071.18783772983
840,301.147450136249,0,3071.18783772983
850,301.148259750624,0,3071.18783772983
860,301.149055202459,0,3071.18783772983
870,301.149826545169,0,3071.18783772983
880,301.150556436852,0,3071.18783772983
890,301.151258351809,0,3071.18783772983
900,301.1519308413,0,3071.18783772983
910,301.152578530261,0,3071.18783772983
920,301.153209550642,0,3071.18783772983
930,301.153821802711,0,3071.18783772983
940,301.154411021834,0,3071.18783772983
950,301.154980409884,0,3071.18783772983
960,301.155534442473,0,3071.18783772983
970,301.156073551707,0,3071.18783772983
980,301.156598719302,0,3071.18783772983
990,301.157098852774,0,3071.18783772983
1000,301.15756424648,0,3071.18783772983
