Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,537.889559597627,0.41746867501836,3132.44169559113,364.468897591401,0.166888107230644,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,472.979253069734,0.522239109363435,3132.44169559113,374.769097010455,0.304135115923212,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,450.622002477653,0.571044429388544,3132.44169559113,374.539657195433,0.368249444402731,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,440.052237141434,0.59988167382414,3132.44169559113,374.053379055617,0.406449581925058,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,432.776756758652,0.619193961775312,3132.44169559113,372.53355084824,0.432763734848568,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,427.584104996244,0.633153365954937,3132.44169559113,371.083155255154,0.452568181350614,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,423.691895813512,0.643774898206026,3132.44169559113,369.770220676536,0.468470898544142,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,420.573383537923,0.652161105370961,3132.44169559113,368.544590387022,0.48174849669856,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,417.948772721647,0.658970371812547,3132.44169559113,367.378024630473,0.493112963624081,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,415.643041668042,0.664621805173737,3132.44169559113,366.234572643295,0.503008851341025,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,413.585141747561,0.669396006983663,3132.44169559113,365.121267373202,0.511751609860796,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,411.767471476515,0.673488383567826,3132.44169559113,364.086104340188,0.519571324262702,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,410.130897156071,0.677038947356654,3132.44169559113,363.104045000089,0.526639461928119,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,408.666375559004,0.680151483859637,3132.44169559113,362.192878163189,0.533088151507746,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,407.343357143786,0.6829042372094,3132.44169559113,361.343404221314,0.53901586889122,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,406.126632853949,0.685357501837516,3132.44169559113,360.537080309339,0.544495978395887,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,405.005727104526,0.687558775456088,3132.44169559113,359.775809448286,0.549586737428178,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,403.980147250664,0.689545930179613,3132.44169559113,359.068193299016,0.554336311122082,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,403.042468838681,0.691349428379853,3132.44169559113,358.41340908909,0.558784782082889,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,402.170962609872,0.692993992812658,3132.44169559113,357.795245809251,0.562964295324958,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,396.664496558274,0.702089161281427,3132.44169559113,353.57140934811,0.590094883981682,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,392.393061534412,0.707764672435357,3132.44169559113,350.015049093246,0.609286434210657,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,389.181215602451,0.711607246370162,3132.44169559113,347.256603144114,0.62365492001145,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,386.702794015887,0.714364104962979,3132.44169559113,345.082246238378,0.634867585240233,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,384.748627697747,0.716429760024445,3132.44169559113,343.348269263329,0.643878909355469,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,383.17166056533,0.718030429142572,3132.44169559113,341.938224543738,0.651288340288145,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,381.848319589923,0.719304265768038,3132.44169559113,340.744748907791,0.657492377095335,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,380.726664466432,0.720340488777764,3132.44169559113,339.725468077823,0.662768567559589,3145.11728160492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
