Time_yr,Pressure_bar,CO2_Saturation,Mean_Depth_m
1,312.317866283981,0,3138.77948859802
2,316.144498279478,0,3138.77948859802
3,318.692104484513,0,3138.77948859802
4,320.337655715931,0,3138.77948859802
5,321.413611459046,0,3138.77948859802
6,322.138870865394,0,3138.77948859802
7,322.63255613843,0,3138.77948859802
8,322.97359689574,0,3138.77948859802
9,323.220949084025,0,3138.77948859802
10,323.399728475211,0,3138.77948859802
11,323.531173017873,0,3138.77948859802
12,323.631370556904,0,3138.77948859802
13,323.706994676296,0,3138.77948859802
14,323.769983460157,0,3138.77948859802
15,323.828057714096,0,3138.77948859802
16,323.878431437031,0,3138.77948859802
17,323.915257482973,0,3138.77948859802
18,323.945063002508,0,3138.77948859802
19,323.974355445216,0,3138.77948859802
20,324.000350755819,0,3138.77948859802
21,324.021982907087,0,3138.77948859802
22,324.04189814783,0,3138.77948859802
23,324.061031014877,0,3138.77948859802
24,324.077498322188,0,3138.77948859802
25,324.090029825564,0,3138.77948859802
26,324.100603330976,0,3138.77948859802
27,324.11431525561,0,3138.77948859802
28,324.129926988737,0,3138.77948859802
29,324.143105713587,0,3138.77948859802
30,324.152682000416,0,3138.77948859802
31,324.159663873656,0,3138.77948859802
32,324.167368126766,0,3138.77948859802
33,324.176564507834,0,3138.77948859802
34,324.187054516931,0,3138.77948859802
35,324.196195054366,0,3138.77948859802
36,324.203179425606,0,3138.77948859802
37,324.210865134265,0,3138.77948859802
38,324.220179304872,0,3138.77948859802
39,324.228964384477,0,3138.77948859802
40,324.234281294261,0,3138.77948859802
41,324.236975184023,0,3138.77948859802
42,324.240403074303,0,3138.77948859802
43,324.245615995168,0,3138.77948859802
44,324.250715831309,0,3138.77948859802
45,324.256202100124,0,3138.77948859802
46,324.261628683584,0,3138.77948859802
47,324.266725322533,0,3138.77948859802
48,324.271911106076,0,3138.77948859802
49,324.277871443723,0,3138.77948859802
50,324.284028584359,0,3138.77948859802
60,313.732650113382,0,3138.77948859802
70,309.71437756724,0,3138.77948859802
80,308.382583859352,0,3138.77948859802
90,307.944421527926,0,3138.77948859802
100,307.795425022879,0,3138.77948859802
110,307.739490594154,0,3138.77948859802
120,307.713568346875,0,3138.77948859802
130,307.696403272089,0,3138.77948859802
140,307.682164738573,0,3138.77948859802
150,307.669307443783,0,3138.77948859802
160,307.657350055091,0,3138.77948859802
170,307.645854650606,0,3138.77948859802
180,307.634364523987,0,3138.77948859802
190,307.62402815796,0,3138.77948859802
200,307.61413127116,0,3138.77948859802
210,307.604808908952,0,3138.77948859802
220,307.595041773532,0,3138.77948859802
230,307.58601678796,0,3138.77948859802
240,307.577484235157,0,3138.77948859802
250,307.568945326274,0,3138.77948859802
260,307.560774532802,0,3138.77948859802
270,307.552126616144,0,3138.77948859802
280,307.543427205008,0,3138.77948859802
290,307.535489289189,0,3138.77948859802
300,307.528102728234,0,3138.77948859802
310,307.521442827617,0,3138.77948859802
320,307.514855493055,0,3138.77948859802
330,307.508409984707,0,3138.77948859802
340,307.502743922081,0,3138.77948859802
350,307.49756381032,0,3138.77948859802
360,307.492573281593,0,3138.77948859802
370,307.488432426351,0,3138.77948859802
380,307.484990555795,0,3138.77948859802
390,307.481560892402,0,3138.77948859802
400,307.478460187779,0,3138.77948859802
410,307.476213849122,0,3138.77948859802
420,307.474540507882,0,3138.77948859802
430,307.472696457022,0,3138.77948859802
440,307.471286712763,0,3138.77948859802
450,307.471259109643,0,3138.77948859802
460,307.472682265325,0,3138.77948859802
470,307.474678779724,0,3138.77948859802
480,307.476809797228,0,3138.77948859802
490,307.4787507989,0,3138.77948859802
500,307.481032260211,0,3138.77948859802
510,307.483030957862,0,3138.77948859802
520,307.485107968693,0,3138.77948859802
530,307.488014968189,0,3138.77948859802
540,307.49135414748,0,3138.77948859802
550,307.494783794564,0,3138.77948859802
560,307.498096520034,0,3138.77948859802
570,307.501383777076,0,3138.77948859802
580,307.504534849933,0,3138.77948859802
590,307.507996535713,0,3138.77948859802
600,307.512043549421,0,3138.77948859802
610,307.51670205351,0,3138.77948859802
620,307.521600224594,0,3138.77948859802
630,307.5269671719,0,3138.77948859802
640,307.532590372703,0,3138.77948859802
650,307.538504073475,0,3138.77948859802
660,307.544552327107,0,3138.77948859802
670,307.550811721778,0,3138.77948859802
680,307.557290546702,0,3138.77948859802
690,307.563544646818,0,3138.77948859802
700,307.569575103426,0,3138.77948859802
710,307.575531318165,0,3138.77948859802
720,307.581592324225,0,3138.77948859802
730,307.587459399028,0,3138.77948859802
740,307.592876230427,0,3138.77948859802
750,307.598190145272,0,3138.77948859802
760,307.603669909834,0,3138.77948859802
770,307.609262512535,0,3138.77948859802
780,307.614647998731,0,3138.77948859802
790,307.619782806335,0,3138.77948859802
800,307.62479115567,0,3138.77948859802
810,307.629729544071,0,3138.77948859802
820,307.634543114827,0,3138.77948859802
830,307.63911452871,0,3138.77948859802
840,307.643434878994,0,3138.77948859802
850,307.647572758548,0,3138.77948859802
860,307.651601586219,0,3138.77948859802
870,307.655498894125,0,3138.77948859802
880,307.65920241625,0,3138.77948859802
890,307.662760887087,0,3138.77948859802
900,307.666167236912,0,3138.77948859802
910,307.669441473714,0,3138.77948859802
920,307.672619475719,0,3138.77948859802
930,307.675698010977,0,3138.77948859802
940,307.678665270505,0,3138.77948859802
950,307.681530239384,0,3138.77948859802
960,307.684302882332,0,3138.77948859802
970,307.686984255404,0,3138.77948859802
980,307.689584383278,0,3138.77948859802
990,307.692067763064,0,3138.77948859802
1000,307.694400221449,0,3138.77948859802
