Time_yr,Pressure_bar,CO2_Saturation,Mean_Depth_m
1,352.88085946171,0,3241.10703163842
2,375.315045877916,0,3241.10703163842
3,388.180484769898,0,3241.10703163842
4,396.129048309847,0,3241.10703163842
5,401.32903600011,0,3241.10703163842
6,404.921969269646,0,3241.10703163842
7,407.452431237657,0,3241.10703163842
8,409.329140491423,0,3241.10703163842
9,410.75226447002,0,3241.10703163842
10,411.844671043734,0,3241.10703163842
11,412.705991635402,0,3241.10703163842
12,413.386832970886,0,3241.10703163842
13,413.983116158868,0,3241.10703163842
14,414.446368785975,0,3241.10703163842
15,414.819620028989,0,3241.10703163842
16,415.157215519911,0,3241.10703163842
17,415.438475603184,0,3241.10703163842
18,415.65316261846,0,3241.10703163842
19,415.836554157051,0,3241.10703163842
20,415.97463445108,0,3241.10703163842
21,416.096492778694,0,3241.10703163842
22,416.205427672471,0,3241.10703163842
23,416.304789526851,0,3241.10703163842
24,416.350642089976,0,3241.10703163842
25,416.357395468034,0,3241.10703163842
26,416.352754449179,0,3241.10703163842
27,416.358340695937,0,3241.10703163842
28,416.343157765452,0,3241.10703163842
29,416.304755126005,0,3241.10703163842
30,416.244171883022,0,3241.10703163842
31,416.155019143406,0,3241.10703163842
32,416.026180300824,0,3241.10703163842
33,415.867075818595,0,3241.10703163842
34,415.707712588421,0,3241.10703163842
35,415.542475803818,0,3241.10703163842
36,415.363552769626,0,3241.10703163842
37,415.162006207516,0,3241.10703163842
38,414.943961008146,0,3241.10703163842
39,414.71012680196,0,3241.10703163842
40,414.450474131756,0,3241.10703163842
41,414.170835437155,0,3241.10703163842
42,413.88574915314,0,3241.10703163842
43,413.597732712232,0,3241.10703163842
44,413.307129644088,0,3241.10703163842
45,413.008562875142,0,3241.10703163842
46,412.705634797511,0,3241.10703163842
47,412.397641484666,0,3241.10703163842
48,412.080082973386,0,3241.10703163842
49,411.752273871565,0,3241.10703163842
50,411.415870290783,0,3241.10703163842
60,364.074131881284,0,3241.10703163842
70,338.929659781605,0,3241.10703163842
80,326.382819260512,0,3241.10703163842
90,320.156017869789,0,3241.10703163842
100,317.085038499926,0,3241.10703163842
110,315.588698526018,0,3241.10703163842
120,314.880592305253,0,3241.10703163842
130,314.564804354808,0,3241.10703163842
140,314.441109564285,0,3241.10703163842
150,314.409805851905,0,3241.10703163842
160,314.421040741886,0,3241.10703163842
170,314.451157793298,0,3241.10703163842
180,314.490151870692,0,3241.10703163842
190,314.530578257384,0,3241.10703163842
200,314.56872418224,0,3241.10703163842
210,314.604307670446,0,3241.10703163842
220,314.636274615947,0,3241.10703163842
230,314.663724256979,0,3241.10703163842
240,314.688325421555,0,3241.10703163842
250,314.710013986344,0,3241.10703163842
260,314.729026828102,0,3241.10703163842
270,314.746923848345,0,3241.10703163842
280,314.764458143804,0,3241.10703163842
290,314.779057610841,0,3241.10703163842
300,314.789528342882,0,3241.10703163842
310,314.796037578266,0,3241.10703163842
320,314.798950473393,0,3241.10703163842
330,314.799906564474,0,3241.10703163842
340,314.800929887487,0,3241.10703163842
350,314.8012848308,0,3241.10703163842
360,314.80054151663,0,3241.10703163842
370,314.800336816428,0,3241.10703163842
380,314.80084502242,0,3241.10703163842
390,314.802920833861,0,3241.10703163842
400,314.806438061601,0,3241.10703163842
410,314.810161333856,0,3241.10703163842
420,314.813444585673,0,3241.10703163842
430,314.816861368933,0,3241.10703163842
440,314.819137526816,0,3241.10703163842
450,314.820475418813,0,3241.10703163842
460,314.822004143704,0,3241.10703163842
470,314.823754169265,0,3241.10703163842
480,314.825031164692,0,3241.10703163842
490,314.826791597115,0,3241.10703163842
500,314.830091932869,0,3241.10703163842
510,314.835799196826,0,3241.10703163842
520,314.844643426642,0,3241.10703163842
530,314.856052397479,0,3241.10703163842
540,314.868935955373,0,3241.10703163842
550,314.882922054011,0,3241.10703163842
560,314.898371554642,0,3241.10703163842
570,314.914750806767,0,3241.10703163842
580,314.932516592396,0,3241.10703163842
590,314.951465162463,0,3241.10703163842
600,314.971241381075,0,3241.10703163842
610,314.990476481372,0,3241.10703163842
620,315.007668223978,0,3241.10703163842
630,315.024021924927,0,3241.10703163842
640,315.040675500426,0,3241.10703163842
650,315.058276709599,0,3241.10703163842
660,315.076422167232,0,3241.10703163842
670,315.095015783764,0,3241.10703163842
680,315.11519782003,0,3241.10703163842
690,315.136668606933,0,3241.10703163842
700,315.158546449835,0,3241.10703163842
710,315.180133334937,0,3241.10703163842
720,315.202381063188,0,3241.10703163842
730,315.225704260579,0,3241.10703163842
740,315.250339605401,0,3241.10703163842
750,315.275971535863,0,3241.10703163842
760,315.302619113945,0,3241.10703163842
770,315.33081522415,0,3241.10703163842
780,315.359498000651,0,3241.10703163842
790,315.388628352346,0,3241.10703163842
800,315.417702385867,0,3241.10703163842
810,315.447507864277,0,3241.10703163842
820,315.478681569393,0,3241.10703163842
830,315.511391326399,0,3241.10703163842
840,315.54373634434,0,3241.10703163842
850,315.57478852017,0,3241.10703163842
860,315.606097745414,0,3241.10703163842
870,315.638395872096,0,3241.10703163842
880,315.67090410791,0,3241.10703163842
890,315.703757859065,0,3241.10703163842
900,315.737149321586,0,3241.10703163842
910,315.772580390438,0,3241.10703163842
920,315.808401313098,0,3241.10703163842
930,315.843391684048,0,3241.10703163842
940,315.877098670548,0,3241.10703163842
950,315.910516163585,0,3241.10703163842
960,315.945030971682,0,3241.10703163842
970,315.979198398456,0,3241.10703163842
980,316.013113158387,0,3241.10703163842
990,316.047840692556,0,3241.10703163842
1000,316.082745529898,0,3241.10703163842
