Time_yr,P_bar_L6,S_CO2_L6,Depth_m_L6,P_bar_L7,S_CO2_L7,Depth_m_L7,P_bar_L8,S_CO2_L8,Depth_m_L8,P_bar_L9,S_CO2_L9,Depth_m_L9,P_bar_L10,S_CO2_L10,Depth_m_L10
1,394.750952488658,0.331598236840364,3048.27044421984,309.231015338295,3.12981479123885e-11,3071.18784165837,311.484379062643,0,3094.10522731127,313.729231448913,0,3117.02258894133,315.972619273332,0,3139.93999839204
2,360.106150336791,0.431685053387095,3048.27044421984,310.94445161277,0.0146553458167793,3071.18784165837,313.197444649613,0,3094.10522731127,315.451772224641,0,3117.02258894133,317.702286951619,0,3139.93999839204
3,347.432253946828,0.482063995484744,3048.27044421984,311.559889280093,0.0547937417223865,3071.18784165837,313.7805445156,0,3094.10522731127,316.02282612374,0,3117.02258894133,318.265148478329,0,3139.93999839204
4,341.450859535879,0.513878632892399,3048.27044421984,311.916748449073,0.109278895856988,3071.18784165837,314.10097700319,0.000241355536740371,3094.10522731127,316.329182796809,0,3117.02258894133,318.561618178659,0,3139.93999839204
5,337.903661921805,0.536430269289851,3048.27044421984,312.187037184883,0.169815758920304,3071.18784165837,314.332971692667,0.00327757995276522,3094.10522731127,316.546937270631,0,3117.02258894133,318.769464429203,0,3139.93999839204
6,335.532122769913,0.553552954898669,3048.27044421984,312.408852062416,0.230293044581265,3071.18784165837,314.514229560753,0.0094378515506642,3094.10522731127,316.716534532521,0,3117.02258894133,318.931331433525,0,3139.93999839204
7,333.783228820853,0.567158897323038,3048.27044421984,312.494171655336,0.282559521303218,3071.18784165837,314.57325516979,0.0181322518034867,3094.10522731127,316.771107912367,0,3117.02258894133,318.983620919074,0,3139.93999839204
8,332.408682367807,0.578325361931669,3048.27044421984,312.459849709386,0.324039602592754,3071.18784165837,314.528495062338,0.0287687957228293,3094.10522731127,316.726024274236,0,3117.02258894133,318.939358528246,0,3139.93999839204
9,331.316071456637,0.587713067807901,3048.27044421984,312.393503988593,0.355644127142783,3071.18784165837,314.462630841926,0.0408813441208325,3094.10522731127,316.66079204759,0,3117.02258894133,318.875706460034,0,3139.93999839204
10,330.449105865454,0.595753939843689,3048.27044421984,312.349760224244,0.379245313790995,3071.18784165837,314.425591412163,0.0540432192391875,3094.10522731127,316.623939231959,0,3117.02258894133,318.840194660145,0,3139.93999839204
